Project_ID,Title_EN,Title_UA,Year,Role_EN,Role_UA,Description_EN,Description_UA,Video_URL,Featured,Order
doc-34,Protected from the Homeland,Захищені від батьківщини,2026,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","In a new investigative documentary project, we expose an unprecedented and shocking practice within the Italian judicial system. Under the guise of the international principle of 'the best interests of the child', Italian courts are disregarding the status of Ukrainian state guardians and appointing local lawyers to represent children, even granting them refugee status.

At the start of the full-scale invasion, Ukraine evacuated thousands of orphans and children deprived of parental care to safety abroad, to protect them from Russian bombs. However, for some of these children, rescue turned into a legal trap and temporary shelter into a loss of national identity.

Despite Ukraine's official moratorium on intercountry adoption, why can foreign courts issue such rulings? Why are teenagers and children finding themselves isolated and forgetting their native language? And why do local Ukrainian officials often prefer to “avoid a scandal”?","У новому документальному проєкті-розслідуванні ми розкриваємо шокуючу прецедентну практику італійської судової системи. Прикриваючись міжнародним принципом «найкращих інтересів дитини», італійські суди масово ігнорують статус українських державних опікунів, призначають дітям місцевих адвокатів і навіть надають їм статус біженців.

На початку повномасштабного вторгнення Україна евакуювала за кордон тисячі дітей-сиріт та дітей, позбавлених батьківського піклування, аби врятувати їх від російських бомб. Але для частини із них порятунок перетворився на правову пастку, а тимчасовий прихисток — на втрату національної ідентичності.

Чому, попри офіційний мораторій України на міждержавне усиновлення, іноземні суди можуть ухвалити таке рішення? Чому підлітки та діти опиняються в ізоляції, забуваючи рідну мову? І чому українські чиновники на місцях часто воліють «уникати скандалу»?",https://www.youtube.com/watch?v=Om2BiBzVWwo,TRUE,1
doc-33,Rebuilding on the Edge,Відбудова на межі,2026,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","""Rebuilding on the Edge"" is a documentary project examining government spending in the face of threats from russian missiles, guided bombs, and attack drones. While the Ukrainian army holds the front lines, large-scale reconstruction of schools, hospitals, and administrative buildings is underway, particularly in the de-occupied part of the Kharkiv region. Investigators from Suspilne examined facilities that had been restored with millions of public funds, only to be destroyed again by the enemy almost immediately after completion.  

Was this reconstruction a vital necessity for the communities, or did it demonstrate a deliberate disregard for military risks to ""spend"" the budgets? The film analyses large-scale projects, such as the construction of a cancer centre costing 3 billion hryvnia and schools costing hundreds of millions, and seeks to answer the key question: do we have the right to spend colossal resources on rebuilding what may turn into ruins again tomorrow? Has the state learned to take this into account in the fifth year of a full-scale war?","«Відбудова на межі» — документальний проєкт про мільярдні державні витрати під прицілом російських ракет, КАБів та ударних дронів. Поки українська армія тримає фронт, на деокупованій частині Харківщини, зокрема, розгортається масштабна відбудова шкіл, лікарень та адмінбудівель. Розслідувачі Суспільного дослідили обʼєкти, які були відновлені за мільйони бюджетних коштів і повторно зруйновані ворогом майже одразу після завершення робіт.  

Чи була ця відбудова життєвою необхідністю для громад чи свідомим ігноруванням воєнних ризиків заради «освоєння» бюджетів? Фільм аналізує масштабні проєкти, як-от будівництво онкоцентру за 3 мільярди гривень та шкіл за сотні мільйонів, і шукає відповідь на головне питання: чи маємо ми право витрачати колосальні ресурси на відновлення того, що завтра може знову перетворитися на руїни, та чи навчилась держава враховувати очевидне на пʼятому році повномасштабної війни?",https://www.youtube.com/watch?v=nt9dJBT_OEM,TRUE,2
doc-32,Mission: Slim,Місія – схуднути,2026,"Video editing director, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","“Mission: Slim” is an investigation into the black market for drugs used to treat type 2 diabetes. These drugs include Ozempic and Mounjaro, for example. In Ukraine, as well as in Europe and the U.S., these drugs are commonly used for weight loss. Manufacturers deny supplying these drugs to Ukraine and deny their use for cosmetic weight loss. However, this does not stop cosmetologists without specialized education or doctors licensed by the Ministry of Health from using them.

A journalist who is not overweight and does not have any indications for the use of these drugs sets out to find out if she will be prescribed them. The experiment proves that, for these specialists, it's just business.","«Місія – схуднути» – це розслідування про чорний ринок препаратів для лікування діабету другого типу. Таких як, наприклад, «Оземпік» та «Мунджаро». В Україні, як і в Європі та США, ці препарати масово використовуються для схуднення. Виробники заперечують, що постачають ці препарати в Україну, та заперечують їхнє використання для косметичного схуднення. Та це не зупиняє ні косметологів без профільної освіти, ні лікарів з ліцензіями від МОЗ. 

Журналістка, яка не має зайвої ваги та жодних показів для застосування препаратів, береться зʼясувати, чи призначать лікарські засоби  їй. Експеримент доводить: для фахівців така робота – лише бізнес.",https://www.youtube.com/watch?v=TLch2zqItUU,TRUE,3
doc-31,"""Spider"" and Other Unpunished","""Паук"" та інші непокарані",2025,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","The documentary film “Spider and Other Unpunished” is an in-depth journalistic investigation into a war crime in the village of Yahidne in the Chernihiv region. In March 2022, Russian occupiers held 369 civilians, including children and elderly people, in the basement of a local school, using them as a “human shield” for their headquarters.

Journalist Alla Sadovnyk and her team reveal the identities of two Russian officers responsible for this crime: Semyon Solovov (call sign “Maple”), who has already been convicted in absentia in Ukraine, and the main suspect, Alexei Zhukov (call sign “Spider”), commander of the 228th regiment. The film traces how the team of investigators identified the perpetrators using eyewitness accounts, data from Russian propaganda channels, and open sources.

The investigation raises questions about accountability for war crimes and the limitations of international law. The film features interviews with international experts: former prosecutor Reed Brody, former commander of the US Army in Europe Ben Hodges, Canadian analyst Michael MacKay, and executive director of the Balkan Investigative Reporting Network Denis Džidić. They discuss the prospects for punishing war criminals, in particular the creation of a Special Tribunal, and whether trials in absentia can be effective for victims.

This film is an attempt to find answers to painful questions: Will the guilty be punished? Does international law work in the context of modern warfare? And what should be done when international institutions prove powerless?","Документальний фільм «”Паук” та інші непокарані» – це глибоке журналістське розслідування воєнного злочину у селі Ягідне Чернігівської області. У березні 2022 року російські окупанти утримували 369 цивільних, включно з дітьми та людьми похилого віку, у підвалі місцевої школи, використовуючи їх як «живий щит» для свого штабу.

Журналістка Алла Садовник разом з командою розкриває особи двох російських офіцерів, відповідальних за цей злочин: уже заочно засудженого в Україні Сємьона Соловова (позивний «Кльон») та головного фігуранта – командира 228-го полку Алєксєя Жукова (позивний «Паук»). Фільм простежує, як команда розслідувачів ідентифікувала злочинців, використовуючи свідчення очевидців, дані з російських пропагандистських каналів та відкриті джерела.

Розслідування порушує питання про відповідальність за воєнні злочини та про обмеженість міжнародного права. Фільм містить інтерв’ю з міжнародними експертами – колишнім прокурором Рідом Броді, екс-командувачем армії США в Європі Беном Годжесом, канадським аналітиком Майклом Мак-Кеєм та виконавчим директором Балканської мережі журналістських розслідувань Денісом Джидічем. Вони обговорюють перспективи покарання воєнних злочинців, зокрема, створення Спеціального трибуналу, та чи можуть заочні вироки бути ефективними для жертв.

Цей фільм – це спроба знайти відповіді на болючі питання: чи будуть покарані винні? Чи працює міжнародне право в умовах сучасної війни? І що робити, коли міжнародні інституції виявляються безсилими?",https://youtu.be/bsM8CnBc2R8?si=fVaZKqRWMCKGL9cO,TRUE,4
doc-30,Access Point,У чаті з ворогом,2025,"Video editing director, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","What drives Ukrainian teenagers to become instruments of terror?

“Access Point” pulls back the curtain on a chilling reality: a growing underground network that recruits young people to carry out acts of violence in Ukraine – acts masterminded not by ideology, but by manipulation, blackmail, and the promise of easy money.

Through exclusive interviews with investigators, psychological experts, and even the teenage perpetrators themselves, journalists Hanna Kalaur and Ihor Yushchenko trace the threads of a sophisticated criminal scheme rooted in Telegram drug shops – networks that double as recruitment platforms for Russian special services.

From the detonation of explosives in Rivne to covert chats run by anonymous handlers, “Access Point” uncovers how digital platforms become launchpads for terror and destabilization. With harrowing testimonies, real footage, and undercover revelations, this film paints a gripping portrait of youth caught in the crosshairs of foreign manipulation and internal collapse.","Про черговий теракт повідомляють в новинах і в пабліках. Зʼясовується, що два вибухові пристрої змайстрували і заклали двоє рівненських підлітків. Їх затримують по гарячих слідах і повідомляють, що робили вони це на замовлення російських спецслужб. 

Журналісти беруться за розслідування цього інциденту паралельно з працівниками СБУ і зʼясовують, що підлітки стали частиною розгалуженої мережі, в яку потрапили через чат наркошопу (телеграм-магазину, що торгує наркотиками). Розслідуючи, журналісти занурилися у світ, де можна не лише купити заборонені речовини, але й отримати замовлення на побиття, підпал, виготовлення і закладання вибухівки. 

Крок за кроком журналісти досліджують діяльність організації і зрештою переконуються, що за звичайним наркошопом стоять люди, головна мета яких — розхитати ситуацію в Україні руками самих українців шляхом підкупу, залякування і шантажу. 

Розслідування треба дивитись усім, хто ризикує потрапити на гачок у пошуку легких грошей, а особливо – батькам підлітків.",https://youtu.be/W-zXpSqlKFk?si=41wY2ST-GviHIqCH,TRUE,5
doc-29,Nalbuphine: Profitable Addiction,Налбуфін: Вигідна Залежність,2025,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","An investigative journalist learns from a colleague's story that Nalbuphine, a drug she was buying for a friend in the military, is an opioid. She also learns that it is highly addictive. Shocked by this information, she initiates an investigation that leads a team of journalists into the darkest corners of the medical and pharmaceutical systems.
Who profits when others are in pain? Why is a controlled substance still sold in pharmacies without a prescription?

The journalists interview addicted soldiers and military doctors at the stabilization center, visit psychiatric and general hospitals, and collect disturbing accounts. They are obstructed by officials. They are met with silence and evasion. However, the source provides data that reveals the millions of dollars in nalbuphine profits of pharmaceutical companies.

Are officials ready to address the already out-of-control opioid crisis?","Журналістка-розслідувачка дізнається з матеріалу колеги, що препарат “Налбуфін”, який вона купувала для знайомого військового, — опіоїдний наркотик. І що цей наркотик викликає сильну залежність. Шокована, вона ініціює розслідування, яке приведе команду журналістів у найтемніші куточки медичної та фармацевтичної системи.

Хто заробляє, коли іншим болить? Чому препарат, що повинен бути під контролем, досі продається в аптеках без рецепта?

Журналісти говорять із залежними військовими та військовими медиками на стабілізаційному пункті, зазирають у палати психіатричних лікарень та госпіталів, збирають свідчення, які лякають. Їм перешкоджають чиновники. Вони стикаються з мовчанням і уникненням відповідей. Але джерело приносить дані, які змінюють усе — про мільйонні прибутки фармацевтичних компаній на налбуфіні.

Чи готові чиновники насправді боротися з опіоїдною кризою, яка вже вийшла з-під контролю?",https://youtu.be/0QPd3a0DeAY?si=GhsFUY3azQ73RONN,TRUE,6
doc-28,West of East,На Захід Від Сходу,2025,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","The documentary film “West of East” is about Kramatorsk, a city that since 2014 has become the administrative center of the Donetsk region and one of the strongest pillars of Ukrainanness in the Donetsk region. A city that since 2022 has walked the fine line between life in independent Ukraine and life under occupation.

""West of East"" shows Kramatorsk through the eyes of journalist Alla Sadovnyk and Stalina Chubenko, the mother of a 16-year-old boy who became a symbol of Kramatorsk's resilience.

Stepan Chubenko was awarded the III degree Order ""For Courage"" and the title ""People's Hero of Ukraine"". Posthumously. 10 years ago, terrorists kidnapped him, a 16-year-old boy, when he was returning from Kyiv to his native Kramatorsk. Four shots and before that, harassment and torture were the terrorists' answer for his pro-Ukrainian position and for Stepan's desire to live in a sovereign Ukraine.","Фільм «На захід від сходу» – про Краматорськ, місто, яке з 2014-го стало адміністративним центром Донецької області та одним з найміцніших стовпів українськості на Донеччині. Місто, яке з 2022-го тримає тонку межу між життям в незалежній Україні та під окупацією.

«На захід від сходу» показує Краматорськ очима журналістки Алли Садовник та Сталіни Чубенко – матері 16-річного юнака, який став символом незламності Краматорська.

Степан Чубенко отримав орден «За мужність» III ступеня та звання «Народного героя України». Посмертно. 10 років тому терористи викрали його, 16-річного хлопця, коли він повертався до рідного Краматорська з Києва. Чотири постріли, а перед тим знущання та катування – відповідь терористів за його проукраїнську позицію та за бажання Степана жити в суверенній Україні.",https://youtu.be/GaKvf1Cz0tk?si=0kQ56JRKPWRHBPze,TRUE,7
doc-27,Call Sign “Batman”,"Позивний ""Бетмен""",2024,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","Investigative journalist Hanna Kalaur stumbles upon an online interview with Olena Yahupova, a resident of the Zaporizhzhia region. What the woman says leads Hanna to convince the team to investigate further. Olena Yahupova was illegally detained by the occupiers for several months, accused of organizing a sabotage group. Then the woman was officially expelled from the occupied territory after a decree by Zaporizhzhia gauleiter Balytsky was read out. The published video said that the woman was released through the gray zone into the territory of free Ukraine.

But in reality, when the cameras were turned off, a terrible thing happened. A man in a balaclava reading the decree handed the woman over to the russian military as a slave. Journalist Hanna Kalaur sets out to identify him. But first she must identify those who underwent the same deportation procedure at the Vasylivka checkpoint.

Dozens of testimonies, dozens of suspects, several months of work without a day off - and the journalists are on the trail. The truth that came to light upset them - the one who expelled people from their homes and handed them over to the occupiers had Ukrainian citizenship.","Журналістка Ганна Калаур натрапляє у мережі на інтервʼю жительки Запорізької області Олени Ягупової. Те, що розповідає жінка, змушує Ганну переконати команду взятись за чергове розслідування. Олену Ягупову на кілька місяців незаконно увʼязнили окупанти, звинувачуючи в організації диверсійної групи. Потім жінку офіційно видворили за межі окупованої території, зачитавши указ гауляйтера Балицького. В оприлюдненому відео йшлося, що жінку через сіру зону відпускають на територію вільної України.

Та насправді, коли камери вимкнулись, трапилось страшне. Чоловік в балаклаві, що зачитував указ, віддав жінку російським військовим у рабство. Журналістка Ганна Калаур береться встановити його особу. Та спершу доводиться встановити тих, хто пройшов таку ж депортаційну процедуру на василівському блокпосту.

Десятки свідчень, десятки підозрюваних, кілька місяців роботи без вихідних – і журналісти виходять на слід. Правда, що відкрилася, засмучує їх – той, хто виселяв людей з їхніх домівок та передавав у рабство окупантам, має українське громадянство.",https://youtu.be/up1dRSt1K4Q?si=bXfJTaNbi8wPQF9M,TRUE,8
doc-26,Kamikaze Drones: The Series,Дрони Камікадзе,2024,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","The project explains the importance of drones, especially FPV drones, in the Russian-Ukrainian war, what the Ukrainian army needs from such drones, why one or even two million drones promised by the state will not be enough, why the state cannot meet all the needs for drones and the so-called “drone ecosystem”, and what the situation is with the production and use of FPV drones by the Russians. The project answers the question of why Ukrainians are forced to donate for drones and will continue to do so.","У проєкті пояснюється важливість дронів, особливо дронів FPV, у російсько-українській війні, що саме потрібне українській армії від таких дронів, чому одного чи навіть двох мільйонів дронів, обіцяних державою, буде недостатньо, чому держава не може задовольнити всі потреби у дронах та так званій «екосистемі дронів», а також яка ситуація з виробництвом і використанням дронів FPV з боку росіян. Проєкт дає відповідь на питання, чому українці змушені робити пожертви на дрони і продовжуватимуть це робити.",https://www.youtube.com/playlist?list=PL9aDK_7u4r7cZlrojUQ8_YBfd0lc2slyH,TRUE,9
doc-25,Woman's Cell : The Series,Жіноча камера,2024,"Video editing director, Music composer, Videographer, Art director, VFX Artist, Motion Graphic Designer, Graphic designer, Colorist, Sound engineer","Режисер монтажу, Композитор, Відеограф, Художник-постановник, Художник із візуальних ефектів, Графічний дизайнер, Колорист, Звукоінженер","This is a series of interviews with women who were held in the temporary detention center on Teploenergetikov Street in Kherson. Those detained there included individuals suspected of participating in the resistance movement, relatives of military personnel, female volunteers, police officers, and those who had carelessly spoken out against the occupying authorities. These stories are chilling in their gruesome details and serve as evidence of war crimes committed by the Russians.","Це серія інтервʼю жінок, яких утримували в ізоляторі  тимчасового тримання на вулиці Теплоенергетиків у Херсоні. Туди потрапляли ті, кого підозрювали в участі в русі опору, родички військовослужбовців, волонтерки, поліцейські, а також ті, хто необережно висловився проти окупаційної влади. Ці історії лякають моторошними подробицями та засвідчують скоєння росіянами воєнних злочинів.",https://www.youtube.com/playlist?list=PL9aDK_7u4r7f85xlnDqZW-DdyBeNVXnKq,TRUE,10
